Category,Message
phishing,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
not phishing,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
not phishing,Are you going to wipro interview today?
not phishing,how tall are you princess?
not phishing,I doubt you could handle 5 times per night in any case...
not phishing,Haha... Hope ü can hear the receipt sound... Gd luck!
not phishing,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
not phishing,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
not phishing,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ?
not phishing,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
not phishing,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
not phishing,I want to be there so i can kiss you and feel you next to me
not phishing,I am not at all happy with what you saying or doing
phishing,Adult 18 Content Your video will be with you shortly
not phishing,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ?"
not phishing,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother
not phishing,He says hi and to get your ass back to south tampa (preferably at a kegger)
not phishing,Smith waste da.i wanna gayle.
not phishing,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
not phishing,"Aight, tomorrow around  &lt;#&gt;  it is"
not phishing,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
phishing,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
not phishing,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
not phishing,See you there!
not phishing,I dont understand your message.
not phishing,Crucify is c not s. You should have told me earlier.
not phishing,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
not phishing,Fuck cedar key and fuck her (come over anyway tho)
not phishing,twenty past five he said will this train have been to durnot phishing already or not coz i am in a reserved seat
phishing,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
not phishing,U still painting ur wall?
phishing,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
not phishing,Printer is cool. I mean groovy. Wine is groovying
not phishing,Hi Harish's rent has been transfred to ur Acnt.
not phishing,Anything lor is she coming?
not phishing,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
not phishing,Ü still attending da talks?
not phishing,No probs hon! How u doinat the mo?
not phishing,K I'll take care of it
not phishing,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
not phishing,My battery is low babe
not phishing,Shuhui has bought ron's present it's a swatch watch...
not phishing,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
not phishing,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
not phishing,K I'll be sure to get up before noon and see what's what
not phishing,K...k...yesterday i was in cbe .
not phishing,Went to ganesh dress shop
phishing,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
not phishing,Ü collecting ur laptop then going to configure da settings izzit?
not phishing,If you r @ home then come down within 5 min
not phishing,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?"
not phishing,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
phishing,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
not phishing,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it."
not phishing,Tell me pa. How is pain de.
not phishing,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
not phishing,"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
not phishing,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
not phishing,ALRITE
not phishing,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
phishing,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
not phishing,How do you guys go to see movies on your side.
not phishing,"Sorry,in meeting I'll call later"
not phishing,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
not phishing,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
phishing,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
not phishing,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
not phishing,What time should I tell my friend to be around?
not phishing,Yes. that will be fine. Love you. Be safe.
not phishing,Thanks chikku..:-) gud nyt:-*
not phishing,Is xy in ur car when u picking me up?
not phishing,"Thanx 4 the time weve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
not phishing,"Yo, any way we could pick something up tonight?"
not phishing,I've not sent it. He can send me.
not phishing,Fine am simply sitting.
not phishing,Thts god's gift for birds as humans hav some natural gift frm god..
not phishing,Are you coming to day for class.
not phishing,Im done. Just studyn in library
not phishing,Ok... U enjoy ur shows...
not phishing,Anything...
not phishing,Where wuld I be without my baby? The thought alone mite break me and I dont wanna go crazy but everyboy needs his lady xxxxxxxx
not phishing,Wat's my dear doing? Sleeping ah?
not phishing,Hi' Test on  &lt;#&gt; rd ....
not phishing,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
not phishing,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
not phishing,Yup n her fren lor. I'm meeting my fren at 730.
not phishing,"Yeah, we got one lined up for us"
not phishing,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*"
not phishing,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.
not phishing,Hey i've booked the pilates and yoga lesson already... Haha
not phishing,Are you ok. What happen to behave like this
phishing,You have 1 new message. Please call 08712400200.
not phishing,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
not phishing,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3."
not phishing,No message..no responce..what happend?
phishing,We currently have a message awaiting your collection. To collect your message just call 08718723815.
not phishing,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
not phishing,make that 3! 4 fucks sake?! x
not phishing,Leave it. U will always be ignorant.
not phishing,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
not phishing,at bruce b downs &amp; fletcher now
not phishing,Where are you ? You said you would be here when I woke ... :-(
not phishing,Hey now am free you can call me.
not phishing,Tell me whos this pls:-)
phishing,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
not phishing,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
not phishing,Id have to check but there's only like 1 bowls worth left
not phishing,Yes there were many sweets
not phishing,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
phishing,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
not phishing,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
not phishing,Sir send to group mail check it.
not phishing,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
not phishing,NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT
not phishing,You dont know you jabo me abi.
phishing,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
not phishing,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
not phishing,"Are you being good, baby? :)"
not phishing,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
not phishing,"Mostly sports type..lyk footbl,crckt.."
not phishing,Ma head dey swell oh. Thanks for making my day
not phishing,U should make a fb list
not phishing,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
not phishing,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
not phishing,Happy New Year Princess!
not phishing,"I'll text carlos and let you know, hang on"
not phishing,"Don't worry, * is easy once have ingredients!"
not phishing,I love u 2 my little pocy bell I am sorry but I love u
not phishing,"Ok omw now, you at castor?"
not phishing,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
phishing,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
not phishing,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
not phishing,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
not phishing,"Tonight? Yeah, I'd be down for that"
not phishing,What should i eat fo lunch senor
not phishing,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for!"
not phishing,No break time one... How... I come out n get my stuff fr ü?
phishing,Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
not phishing,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
not phishing,Do you still have the grinder?
phishing,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
not phishing,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
phishing,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
not phishing,K.i did't see you.:)k:)where are you now?
not phishing,So i'm doing a list of buyers.
not phishing,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
not phishing,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
not phishing,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
not phishing,Don know..he is watching film in computer..
not phishing,No b4 Thursday
not phishing,"Oh, then your phone phoned me but it disconnected"
not phishing,Id onluy matters when getting on from offcampus
phishing,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only
not phishing,"Excellent, I'll see what riley's plans are"
not phishing,I will see in half an hour
phishing,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
not phishing,Ew are you one of them?
not phishing,Also hi wesley how've you been
not phishing,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
phishing,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
phishing,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
not phishing,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
not phishing,"Hm good morning, headache anyone? :-)"
not phishing,Yeah no probs - last night is obviously catching up with you... Speak soon
phishing,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
not phishing,I might go 2 sch. Yar at e salon now v boring.
not phishing,&lt;#&gt;  mins but i had to stop somewhere first.
not phishing,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
not phishing,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
not phishing,I didn't get the second half of that message
not phishing,Wat time do u wan 2 meet me later?
not phishing,I thank you so much for all you do with selflessness. I love you plenty.
not phishing,Am in film ill call you later.
not phishing,How dare you change my ring
not phishing,You are a very very very very bad girl. Or lady.
not phishing,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
not phishing,"What part of ""don't initiate"" don't you understand"
not phishing,I finished my lunch already. U wake up already?
not phishing,You still at the game?
not phishing,You have got tallent but you are wasting.
not phishing,What is your record for one night? :)
not phishing,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
not phishing,gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number.
not phishing,Jokin only lar... :-) depends on which phone my father can get lor...
not phishing,"Aight, lemme know what's up"
not phishing,Get ready for  &lt;#&gt;  inches of pleasure...
not phishing,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
not phishing,;-) ok. I feel like john lennon.
not phishing,Cos darren say ü considering mah so i ask ü...
not phishing,You are not bothering me but you have to trust my answers. Pls.
not phishing,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
not phishing,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
not phishing,Aight what time you want me to come up?
not phishing,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
not phishing,Your bill at 3 is £33.65 so thats not bad!
not phishing,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
not phishing,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
not phishing,So how's the weather over there?
not phishing,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!"
not phishing,Die... Now i have e toot fringe again...
not phishing,Lol they don't know about my awesome phone. I could click delete right now if I want.
not phishing,Ok
not phishing,"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite"
not phishing,Please leave this topic..sorry for telling that..
not phishing,Pls send me the correct name da.
not phishing,What happened to our yo date?
phishing,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+
not phishing,Webpage s not available!
not phishing,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
phishing,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
not phishing,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
not phishing,K..k...from tomorrow onwards started ah?
not phishing,What u talking bout early morning? It's almost noon where your at!
not phishing,Fine. Do you remember me.
phishing,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
not phishing,Ok. How many should i buy.
not phishing,"Sounds good, keep me posted"
phishing,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
not phishing,Ok. So april. Cant wait
not phishing,Boy you best get yo ass out here quick
not phishing,Ay wana meet on sat?ü wkg on sat?
not phishing,I'm now but have to wait till 2 for the bus to pick me.
not phishing,Apart from the one i told you about yesterday?
not phishing,Ok lor... But buy wat?
not phishing,Somebody should go to andros and steal ice
not phishing,Don know. I did't msg him recently.
not phishing,Take us out shopping and Mark will distract Isaiah.=D
not phishing,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
not phishing,There is no sense in my foot and penis.
not phishing,Okay but i thought you were the expert
not phishing,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
not phishing,S.s:)i thinl role is like sachin.just standing. Others have to hit.
not phishing,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola
not phishing,"And very importantly, all we discuss is between u and i only."
not phishing,K..k:)how about your training process?
not phishing,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
not phishing,In da car park
not phishing,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
not phishing,So i asked how's anthony. Dad. And your bf
not phishing,"Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
not phishing,What Today-sunday..sunday is holiday..so no work..
not phishing,Am going to take bath ill place the key in window:-)
phishing,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
not phishing,"Dear, take care. I am just reaching home.love u a lot."
not phishing,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
not phishing,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
not phishing,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
not phishing,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
not phishing,"Yo, you at jp and hungry like a mofo?"
not phishing,This is all just creepy and crazy to me.
not phishing,Ok... I din get ur msg...
not phishing,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
not phishing,Pathaya enketa maraikara pa'
not phishing,Even if he my friend he is a priest call him now
not phishing,"U so lousy, run already come back then half dead... Hee..."
not phishing,That's y i said it's bad dat all e gals know u... Wat u doing now?
not phishing,Or remind me in a few hrs.
not phishing,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
not phishing,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
not phishing,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
not phishing,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
phishing,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412
not phishing,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
not phishing,Just haven't decided where yet eh ?
not phishing,"Wat time liao, where still got."
not phishing,Yes watching footie but worried we're going to blow it - Phil Neville?
not phishing,I wait 4 ü inside da car park...
not phishing,Uncle Abbey! Happy New Year. Abiola
not phishing,Now am free call me pa.
not phishing,R u saying i should re order the slippers cos i had to pay for returning it.
not phishing,Stop knowing me so well!
not phishing,Good evening! this is roger. How are you?
not phishing,Small problem in auction:)punj now asking tiwary
phishing,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
not phishing,He telling not to tell any one. If so treat for me hi hi hi
not phishing,My uncles in Atlanta. Wish you guys a great semester.
phishing,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
not phishing,U coming 2 pick me?
not phishing,Thats cool. i liked your photos. You are very sexy!
not phishing,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
not phishing,"Haha better late than ever, any way I could swing by?"
not phishing,Ok. But i finish at 6.
phishing,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
not phishing,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
not phishing,So no messages. Had food?
not phishing,Ok going to sleep. Hope i can meet her.
not phishing,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
not phishing,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks
not phishing,You're right I have now that I think about it
not phishing,Wat r u doing now?
not phishing,Is ur lecture over?
phishing,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
not phishing,Customer place i will call you
not phishing,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
not phishing,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
not phishing,"Haha I heard that, text me when you're around"
not phishing,I.ll get there tomorrow and send it to you
not phishing,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
not phishing,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
not phishing,CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.
not phishing,"Sorry,  in meeting I'll call you later"
not phishing,Yo! Howz u? girls never rang after india. L
not phishing,Yeah but which is worse for i
phishing,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
not phishing,I tagged MY friends that you seemed to count as YOUR friends.
phishing,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
not phishing,Ok...
not phishing,Long time. You remember me today.
not phishing,Havent shopping now lor i juz arrive only
not phishing,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE
not phishing,Are you up for the challenge? I know i am :)
not phishing,How much did ur hdd casing cost.
not phishing,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
not phishing,I can't describe how lucky you are that I'm actually awake by noon
phishing,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
not phishing,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
not phishing,Cheers for the card ... Is it that time of year already?
phishing,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
not phishing,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
not phishing,Ugh hopefully the asus ppl dont randomly do a reformat.
not phishing,"Haven't seen my facebook, huh? Lol!"
not phishing,"Mah b, I'll pick it up tomorrow"
not phishing,Still otside le..u come 2morrow maga..
not phishing,Do u still have plumbers tape and a wrench we could borrow?
phishing,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
not phishing,It vl bcum more difficult..
phishing,UR GOING 2 BAnot phishingAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Banot phishingas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
not phishing,Havent still waitin as usual... Ü come back sch oredi?
not phishing,In meeting da. I will call you
not phishing,K k :-):-) then watch some films.
not phishing,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
not phishing,There the size of elephant tablets & u shove um up ur ass!!
not phishing,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
not phishing,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
not phishing,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair.
not phishing,Good morning pookie pie! Lol hope I didn't wake u up
not phishing,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
not phishing,Happy birthday to you....dear.with lots of love.rakhesh NRI
not phishing,Howz that persons story
phishing,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
not phishing,X2  &lt;#&gt; . Are you going to get that
not phishing,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning
phishing,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub
not phishing,Is ur paper today in e morn or aft?
not phishing,I will lick up every drop :) are you ready to use your mouth as well?
not phishing,And you! Will expect you whenever you text! Hope all goes well tomo
not phishing,Great. P diddy is my neighbor and comes for toothpaste every morning
not phishing,"I av a new number,  . Wil u only use this one,ta."
not phishing,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
not phishing,7 lor... Change 2 suntec... Wat time u coming?
not phishing,No de.am seeing in online shop so that i asked.
not phishing,Just curious because my cuz asked what I was up to
not phishing,Nice.nice.how is it working?
not phishing,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
not phishing,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again
not phishing,She's good. How are you. Where r u working now
not phishing,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
not phishing,At home also.
not phishing,This phone has the weirdest auto correct.
not phishing,Oops my phone died and I didn't even know. Yeah I like it better.
not phishing,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
